PC=00000490, REG[10]=976bec8c
PC=00000494, ---
PC=00000498, REG[10]=4bb5f646
PC=0000049c, ---
PC=0000033c, REG[14]=4bb5f646
PC=00000340, REG[15]=00010000
PC=00000344, REG[15]=0000ffff
PC=00000348, REG[14]=0000f646
PC=0000034c, REG[13]=0000ff80
PC=00000350, REG[15]=00000001
PC=00000354, REG[15]=00000004
PC=00000358, REG[15]=0000ff84
PC=0000035c, ---
PC=00000360, REG[ 1]=00000360
PC=00000364, REG[ 1]=00000368
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=404a560c
PC=0000045c, REG[14]=cbb5f646
PC=00000460, REG[15]=d2bd141c
PC=00000464, REG[12]=d2bd141d
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=80e0901c
PC=0000047c, REG[14]=32e7044e
PC=00000480, REG[13]=133b9cbf
PC=00000484, REG[14]=b3c7946a
PC=00000488, REG[14]=c7033129
PC=0000048c, REG[15]=c7033129
PC=00000490, REG[10]=8e066252
PC=00000494, ---
PC=00000498, REG[10]=47033129
PC=0000049c, ---
PC=00000368, REG[14]=47033129
PC=0000036c, REG[15]=00010000
PC=00000370, REG[15]=0000ffff
PC=00000374, REG[14]=00003129
PC=00000378, REG[13]=0000ff70
PC=0000037c, REG[15]=00000001
PC=00000380, REG[15]=00000004
PC=00000384, REG[15]=0000ff74
PC=00000388, ---
PC=0000038c, REG[14]=0000ff60
PC=00000390, REG[15]=00000001
PC=00000394, REG[15]=00000004
PC=00000398, REG[15]=0000ff64
PC=0000039c, ---
PC=000003a0, REG[15]=00000001
PC=000003a4, REG[15]=00000002
PC=000003a8, ---
PC=000003ac, REG[15]=00001000
PC=000003b0, REG[15]=00000004
PC=000003b4, REG[14]=00000002
PC=000003b8, ---
PC=00000334, REG[ 1]=00000334
PC=00000338, REG[ 1]=0000033c
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=d2bd141d
PC=0000045c, REG[14]=c7033129
PC=00000460, REG[15]=2917ec19
PC=00000464, REG[12]=2917ec1a
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
