PC=000001f4, REG[15]=08cdb7ff
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=08091ffd
PC=00000204, REG[19]=fb9a3dfe
PC=00000208, REG[18]=08091ffd
PC=0000020c, REG[14]=0467f5fd
PC=00000210, REG[13]=000233fa
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=000233fa
PC=0000021c, REG[14]=000233fa
PC=00000220, REG[14]=08cfe800
PC=00000224, REG[14]=08cdb406
PC=00000228, REG[13]=000003f9
PC=0000022c, REG[15]=0000000a
PC=00000230, REG[15]=00000028
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010018
PC=0000023c, ---
PC=00000240, REG[15]=0000000a
PC=00000244, REG[15]=0000000b
PC=00000248, ---
PC=0000024c, REG[14]=0000000b
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=5390e864
PC=000002b4, REG[14]=88cdb7ff
PC=000002b8, REG[15]=85f67594
PC=000002bc, REG[12]=85f67595
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=b59c2994
PC=000002d4, REG[14]=e5dbd8d3
PC=000002d8, REG[13]=18ffd1d8
PC=000002dc, REG[14]=9b780267
PC=000002e0, REG[14]=b477d43f
PC=000002e4, REG[15]=b477d43f
PC=000002e8, REG[10]=68efa87e
PC=000002ec, ---
PC=000002f0, REG[10]=3477d43f
PC=000002f4, ---
PC=000001f4, REG[15]=3477d43f
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=63e974bd
PC=00000204, REG[19]=e5caa67f
PC=00000208, REG[18]=63e974bd
PC=0000020c, REG[14]=1a427abe
PC=00000210, REG[13]=000d213d
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=000d213d
PC=0000021c, REG[14]=000d213d
PC=00000220, REG[14]=3484f400
PC=00000224, REG[14]=3477d2c3
PC=00000228, REG[13]=0000017c
PC=0000022c, REG[15]=0000000b
PC=00000230, REG[15]=0000002c
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0001001c
PC=0000023c, ---
PC=00000240, REG[15]=0000000b
PC=00000244, REG[15]=0000000c
PC=00000248, ---
PC=0000024c, REG[14]=0000000c
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=85f67595
PC=000002b4, REG[14]=b477d43f
PC=000002b8, REG[15]=7c609631
PC=000002bc, REG[12]=7c609632
