PC=000001e0, REG[15]=0000fe53
PC=000001e4, REG[15]=00003f94
PC=000001e8, REG[15]=0000fe50
PC=000001ec, ---
PC=000001f0, ---
PC=000001f4, ---
PC=00000234, REG[14]=00000000
PC=00000238, REG[15]=00000002
PC=0000023c, ---
PC=000001f8, REG[14]=00000000
PC=000001fc, REG[15]=00000000
PC=00000200, REG[15]=00000000
PC=00000204, REG[15]=00000000
PC=00000208, REG[14]=0000ff94
PC=0000020c, REG[15]=0000ff94
PC=00000210, REG[14]=0000000f
PC=00000214, REG[13]=0000fe60
PC=00000218, REG[15]=00000000
PC=0000021c, REG[15]=00000000
PC=00000220, REG[15]=0000fe60
PC=00000224, ---
PC=00000228, REG[15]=00000000
PC=0000022c, REG[15]=00000001
PC=00000230, ---
PC=00000234, REG[14]=00000001
PC=00000238, REG[15]=00000002
PC=0000023c, ---
PC=000001f8, REG[14]=00000000
PC=000001fc, REG[15]=00000001
PC=00000200, REG[15]=00000001
PC=00000204, REG[15]=00000004
PC=00000208, REG[14]=0000ff94
PC=0000020c, REG[15]=0000ff98
PC=00000210, REG[14]=00000020
PC=00000214, REG[13]=0000fe60
PC=00000218, REG[15]=00000001
PC=0000021c, REG[15]=00000004
PC=00000220, REG[15]=0000fe64
PC=00000224, ---
PC=00000228, REG[15]=00000001
PC=0000022c, REG[15]=00000002
PC=00000230, ---
PC=00000234, REG[14]=00000002
PC=00000238, REG[15]=00000002
PC=0000023c, ---
PC=00000240, ---
PC=00000244, ---
PC=00000288, REG[14]=00000000
PC=0000028c, REG[15]=00000001
PC=00000290, ---
PC=00000248, REG[15]=00000001
PC=0000024c, REG[14]=00000002
PC=00000250, REG[15]=00000000
PC=00000254, REG[15]=00000002
PC=00000258, REG[15]=00000008
PC=0000025c, REG[14]=0000ff94
PC=00000260, REG[15]=0000ff9c
PC=00000264, REG[14]=00000141
PC=00000268, REG[13]=0000fe50
PC=0000026c, REG[15]=00000000
PC=00000270, REG[15]=00000000
PC=00000274, REG[15]=0000fe50
PC=00000278, ---
PC=0000027c, REG[15]=00000000
PC=00000280, REG[15]=00000001
PC=00000284, ---
PC=00000288, REG[14]=00000001
PC=0000028c, REG[15]=00000001
PC=00000290, ---
PC=00000294, ---
PC=00000298, ---
PC=0000029c, REG[15]=00000000
PC=000002a0, ---
PC=000002a4, ---
PC=0000034c, REG[14]=00000000
PC=00000350, REG[15]=00000002
PC=00000354, ---
PC=00000358, REG[14]=00000000
PC=0000035c, REG[15]=00000001
PC=00000360, ---
PC=000002a8, REG[14]=0000fe60
PC=000002ac, REG[15]=00000000
PC=000002b0, REG[15]=00000000
PC=000002b4, REG[15]=0000fe60
PC=000002b8, REG[14]=0000000f
PC=000002bc, REG[13]=0000fe50
PC=000002c0, REG[15]=00000000
PC=000002c4, REG[15]=00000000
PC=000002c8, REG[15]=0000fe50
PC=000002cc, REG[15]=00000141
PC=000002d0, ---
PC=000002d4, REG[15]=00000000
PC=000002d8, REG[15]=00000000
PC=000002dc, REG[14]=0000ff94
PC=000002e0, REG[15]=0000ff94
PC=000002e4, REG[13]=0000fe60
PC=000002e8, REG[14]=00000000
PC=000002ec, REG[14]=00000000
PC=000002f0, REG[14]=0000fe60
PC=000002f4, REG[14]=0000000f
PC=000002f8, ---
PC=000002fc, REG[15]=00000000
PC=00000300, REG[15]=00000001
PC=00000304, ---
PC=00000308, ---
PC=00000340, REG[15]=00000000
PC=00000344, REG[15]=00000001
PC=00000348, ---
PC=0000034c, REG[14]=00000001
PC=00000350, REG[15]=00000002
PC=00000354, ---
PC=00000358, REG[14]=00000000
PC=0000035c, REG[15]=00000001
PC=00000360, ---
PC=000002a8, REG[14]=0000fe60
PC=000002ac, REG[15]=00000001
PC=000002b0, REG[15]=00000004
PC=000002b4, REG[15]=0000fe64
PC=000002b8, REG[14]=00000020
PC=000002bc, REG[13]=0000fe50
PC=000002c0, REG[15]=00000000
PC=000002c4, REG[15]=00000000
PC=000002c8, REG[15]=0000fe50
PC=000002cc, REG[15]=00000141
PC=000002d0, ---
PC=000002d4, REG[15]=00000001
PC=000002d8, REG[15]=00000004
PC=000002dc, REG[14]=0000ff94
PC=000002e0, REG[15]=0000ff98
PC=000002e4, REG[13]=0000fe60
PC=000002e8, REG[14]=00000001
PC=000002ec, REG[14]=00000004
PC=000002f0, REG[14]=0000fe64
PC=000002f4, REG[14]=00000020
PC=000002f8, ---
PC=000002fc, REG[15]=00000001
PC=00000300, REG[15]=00000002
PC=00000304, ---
PC=00000308, ---
PC=00000340, REG[15]=00000001
PC=00000344, REG[15]=00000002
PC=00000348, ---
PC=0000034c, REG[14]=00000002
PC=00000350, REG[15]=00000002
PC=00000354, ---
PC=000003a8, REG[14]=00000002
PC=000003ac, REG[15]=00000002
PC=000003b0, ---
PC=000003b4, ---
PC=000003f8, REG[14]=00000000
PC=000003fc, REG[15]=00000001
PC=00000400, ---
PC=000003b8, REG[15]=00000002
PC=000003bc, REG[15]=00000008
PC=000003c0, REG[14]=0000ff94
PC=000003c4, REG[15]=0000ff9c
PC=000003c8, REG[13]=0000fe50
PC=000003cc, REG[14]=00000000
PC=000003d0, REG[14]=00000000
PC=000003d4, REG[14]=0000fe50
PC=000003d8, REG[14]=00000141
PC=000003dc, ---
PC=000003e0, REG[15]=00000000
PC=000003e4, REG[15]=00000001
PC=000003e8, ---
PC=000003ec, REG[15]=00000002
PC=000003f0, REG[15]=00000003
PC=000003f4, ---
PC=000003f8, REG[14]=00000001
PC=000003fc, REG[15]=00000001
PC=00000400, ---
PC=00000404, REG[ 2]=0000fe70
PC=00000408, ---
PC=0000040c, REG[ 2]=0000fe70
PC=00000410, REG[ 8]=0000ff00
PC=00000414, REG[18]=00000000
PC=00000418, REG[19]=00000000
PC=0000041c, REG[20]=00000000
PC=00000420, REG[21]=00000000
PC=00000424, REG[22]=00000000
PC=00000428, REG[23]=00000000
