PC=00000698, REG[14]=0000fac0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fad0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fae0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000faf0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb00
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb10
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb20
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb30
PC=0000069c, ---
PC=000006a0, ---
PC=000006a4, ---
PC=00000518, REG[15]=fffff000
PC=0000051c, REG[14]=0000fff0
PC=00000520, REG[15]=0000eff0
PC=00000524, REG[14]=00000001
PC=00000528, ---
PC=0000052c, REG[15]=fffff000
PC=00000530, REG[14]=0000fff0
PC=00000534, REG[15]=0000eff0
PC=00000538, REG[14]=00000002
PC=0000053c, ---
PC=00000540, REG[15]=fffff000
PC=00000544, REG[14]=0000fff0
PC=00000548, REG[15]=0000eff0
PC=0000054c, REG[14]=00000003
PC=00000550, ---
PC=00000554, REG[15]=fffff000
PC=00000558, REG[14]=0000fff0
PC=0000055c, REG[14]=0000eff0
PC=00000560, REG[15]=00001000
PC=00000564, REG[15]=0000fff0
PC=00000568, REG[14]=00000004
PC=0000056c, ---
PC=00000570, REG[15]=fffff000
PC=00000574, REG[14]=0000fff0
PC=00000578, REG[14]=0000eff0
PC=0000057c, REG[15]=00001000
PC=00000580, REG[15]=0000fff0
PC=00000584, REG[14]=00000005
PC=00000588, ---
PC=0000058c, REG[15]=fffff000
PC=00000590, REG[14]=0000fff0
PC=00000594, REG[14]=0000eff0
PC=00000598, REG[15]=00001000
PC=0000059c, REG[15]=0000fff0
PC=000005a0, REG[14]=00000006
PC=000005a4, ---
PC=000005a8, REG[15]=fffff000
PC=000005ac, REG[14]=0000fff0
PC=000005b0, REG[14]=0000eff0
PC=000005b4, REG[15]=00001000
PC=000005b8, REG[15]=0000fff0
PC=000005bc, REG[14]=00000007
PC=000005c0, ---
PC=000005c4, REG[15]=fffff000
PC=000005c8, REG[14]=0000fff0
PC=000005cc, REG[14]=0000eff0
PC=000005d0, REG[15]=00001000
PC=000005d4, REG[15]=0000fff0
PC=000005d8, REG[14]=00000008
PC=000005dc, ---
PC=000005e0, REG[15]=fffff000
PC=000005e4, REG[14]=0000fff0
PC=000005e8, REG[14]=0000eff0
PC=000005ec, REG[15]=00001000
PC=000005f0, REG[15]=0000fff0
PC=000005f4, REG[14]=00000009
PC=000005f8, ---
PC=000005fc, REG[15]=00000003
PC=00000600, ---
PC=00000604, REG[15]=00000003
PC=00000608, ---
PC=0000060c, REG[15]=00000003
PC=00000610, ---
PC=00000614, REG[15]=00000003
PC=00000618, ---
PC=0000061c, REG[15]=fffff000
PC=00000620, REG[15]=fffff690
PC=00000624, REG[14]=0000fff0
PC=00000628, REG[15]=0000f680
PC=0000062c, REG[12]=0000fb30
PC=00000630, REG[14]=00000003
PC=00000634, REG[13]=00000003
PC=00000638, REG[11]=00000003
