PC=000009fc, REG[15]=00000007
PC=00000a00, REG[15]=00000008
PC=00000a04, REG[15]=00080000
PC=00000a08, REG[15]=00000008
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000008
PC=00000a18, ---
PC=00000a1c, ---
PC=00000a20, ---
PC=00000a24, REG[ 8]=0000ffe0
PC=00000a28, REG[ 2]=0000ff70
PC=00000a2c, ---
PC=00000b70, REG[14]=0000ff70
PC=00000b74, REG[15]=00000010
PC=00000b78, REG[11]=0000ff70
PC=00000b7c, REG[10]=00000010
PC=00000b80, REG[ 1]=00000b80
PC=00000b84, REG[ 1]=00000b88
PC=00000994, REG[ 2]=0000ff40
PC=00000998, ---
PC=0000099c, REG[ 8]=0000ff70
PC=000009a0, REG[15]=00000010
PC=000009a4, ---
PC=000009a8, ---
PC=000009ac, ---
PC=000009b0, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000000
PC=00000a18, ---
PC=000009b4, REG[15]=00000010
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000000
PC=000009e0, REG[15]=00000000
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff70
PC=000009ec, ---
PC=000009f0, REG[15]=00000010
PC=000009f4, REG[15]=00000008
PC=000009f8, ---
PC=000009fc, REG[15]=00000000
PC=00000a00, REG[15]=00000001
PC=00000a04, REG[15]=00010000
PC=00000a08, REG[15]=00000001
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000001
PC=00000a18, ---
PC=000009b4, REG[15]=00000008
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000001
PC=000009e0, REG[15]=00000002
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff72
PC=000009ec, ---
PC=000009f0, REG[15]=00000008
PC=000009f4, REG[15]=00000004
PC=000009f8, ---
PC=000009fc, REG[15]=00000001
PC=00000a00, REG[15]=00000002
PC=00000a04, REG[15]=00020000
PC=00000a08, REG[15]=00000002
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000002
PC=00000a18, ---
PC=000009b4, REG[15]=00000004
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000002
PC=000009e0, REG[15]=00000004
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff74
PC=000009ec, ---
PC=000009f0, REG[15]=00000004
PC=000009f4, REG[15]=00000002
PC=000009f8, ---
PC=000009fc, REG[15]=00000002
PC=00000a00, REG[15]=00000003
PC=00000a04, REG[15]=00030000
PC=00000a08, REG[15]=00000003
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000003
PC=00000a18, ---
PC=000009b4, REG[15]=00000002
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000003
PC=000009e0, REG[15]=00000006
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff76
PC=000009ec, ---
PC=000009f0, REG[15]=00000002
PC=000009f4, REG[15]=00000001
PC=000009f8, ---
PC=000009fc, REG[15]=00000003
PC=00000a00, REG[15]=00000004
PC=00000a04, REG[15]=00040000
PC=00000a08, REG[15]=00000004
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000004
PC=00000a18, ---
PC=000009b4, REG[15]=00000001
PC=000009b8, REG[15]=00000001
PC=000009bc, ---
PC=000009c0, REG[15]=00000004
PC=000009c4, REG[15]=00000008
PC=000009c8, REG[14]=0000ff70
PC=000009cc, REG[15]=0000ff78
PC=000009d0, REG[14]=00000001
PC=000009d4, ---
PC=000009d8, ---
PC=000009f0, REG[15]=00000001
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000004
PC=00000a00, REG[15]=00000005
PC=00000a04, REG[15]=00050000
PC=00000a08, REG[15]=00000005
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000005
PC=00000a18, ---
PC=000009b4, REG[15]=00000000
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000005
PC=000009e0, REG[15]=0000000a
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff7a
PC=000009ec, ---
PC=000009f0, REG[15]=00000000
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000005
PC=00000a00, REG[15]=00000006
PC=00000a04, REG[15]=00060000
PC=00000a08, REG[15]=00000006
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000006
PC=00000a18, ---
PC=000009b4, REG[15]=00000000
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000006
PC=000009e0, REG[15]=0000000c
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff7c
PC=000009ec, ---
PC=000009f0, REG[15]=00000000
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000006
PC=00000a00, REG[15]=00000007
PC=00000a04, REG[15]=00070000
PC=00000a08, REG[15]=00000007
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000007
PC=00000a18, ---
PC=000009b4, REG[15]=00000000
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000007
PC=000009e0, REG[15]=0000000e
PC=000009e4, REG[14]=0000ff70
PC=000009e8, REG[15]=0000ff7e
PC=000009ec, ---
PC=000009f0, REG[15]=00000000
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000007
PC=00000a00, REG[15]=00000008
PC=00000a04, REG[15]=00080000
PC=00000a08, REG[15]=00000008
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000008
PC=00000a18, ---
PC=00000a1c, ---
PC=00000a20, ---
PC=00000a24, REG[ 8]=0000ffe0
PC=00000a28, REG[ 2]=0000ff70
PC=00000a2c, ---
PC=00000b88, REG[15]=0000ff80
PC=00000b8c, REG[14]=00000008
PC=00000b90, REG[13]=00000002
PC=00000b94, REG[12]=00000002
PC=00000b98, REG[11]=00000008
PC=00000b9c, REG[10]=0000ff80
PC=00000ba0, REG[ 1]=00000ba0
PC=00000ba4, REG[ 1]=00000ba8
PC=00000558, REG[ 2]=0000ff10
PC=0000055c, ---
PC=00000560, ---
PC=00000564, ---
PC=00000568, ---
PC=0000056c, ---
PC=00000570, ---
PC=00000574, ---
PC=00000578, ---
PC=0000057c, ---
PC=00000580, ---
PC=00000584, REG[ 8]=0000ff70
PC=00000588, ---
PC=0000058c, REG[13]=00000008
PC=00000590, ---
PC=00000594, REG[13]=00000002
PC=00000598, ---
PC=0000059c, REG[13]=0000ff10
PC=000005a0, REG[24]=0000ff10
PC=000005a4, REG[12]=00000002
PC=000005a8, REG[13]=00000001
PC=000005ac, ---
PC=000005b0, REG[13]=00000008
PC=000005b4, REG[13]=00000007
PC=000005b8, ---
PC=000005bc, REG[13]=00000008
PC=000005c0, REG[22]=00000008
PC=000005c4, REG[23]=00000000
PC=000005c8, REG[13]=00000000
PC=000005cc, REG[29]=00000000
PC=000005d0, REG[29]=00000000
PC=000005d4, REG[28]=00000080
PC=000005d8, REG[13]=00000008
PC=000005dc, REG[20]=00000008
PC=000005e0, REG[21]=00000000
PC=000005e4, REG[13]=00000000
PC=000005e8, REG[ 7]=00000000
PC=000005ec, REG[ 7]=00000000
PC=000005f0, REG[ 6]=00000080
PC=000005f4, REG[13]=00000008
PC=000005f8, REG[13]=00000010
PC=000005fc, REG[13]=0000001f
PC=00000600, REG[13]=00000001
PC=00000604, REG[13]=00000010
PC=00000608, REG[ 2]=0000ff00
PC=0000060c, REG[13]=0000ff00
PC=00000610, REG[13]=0000ff01
PC=00000614, REG[13]=00007f80
PC=00000618, REG[13]=0000ff00
PC=0000061c, ---
PC=00000620, REG[13]=00000008
PC=00000624, REG[13]=00000007
PC=00000628, ---
PC=0000062c, REG[13]=00000008
PC=00000630, REG[18]=00000008
PC=00000634, REG[19]=00000000
PC=00000638, REG[13]=00000000
PC=0000063c, REG[17]=00000000
PC=00000640, REG[17]=00000000
PC=00000644, REG[16]=00000080
PC=00000648, REG[13]=00000008
PC=0000064c, REG[30]=00000008
PC=00000650, REG[31]=00000000
PC=00000654, REG[13]=00000000
PC=00000658, REG[15]=00000000
PC=0000065c, REG[15]=00000000
PC=00000660, REG[14]=00000080
PC=00000664, REG[15]=00000008
PC=00000668, REG[15]=00000010
PC=0000066c, REG[15]=0000001f
PC=00000670, REG[15]=00000001
PC=00000674, REG[15]=00000010
PC=00000678, REG[ 2]=0000fef0
PC=0000067c, REG[15]=0000fef0
PC=00000680, REG[15]=0000fef1
PC=00000684, REG[15]=00007f78
PC=00000688, REG[15]=0000fef0
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000720, REG[14]=00000000
PC=00000724, REG[15]=00000008
PC=00000728, ---
PC=00000698, REG[15]=00000000
PC=0000069c, REG[15]=00000000
PC=000006a0, REG[14]=0000ff80
PC=000006a4, REG[15]=0000ff80
PC=000006a8, REG[14]=00000000
PC=000006ac, REG[14]=00000000
PC=000006b0, REG[14]=00000000
PC=000006b4, REG[14]=00000000
PC=000006b8, REG[12]=00000000
PC=000006bc, REG[14]=00000001
PC=000006c0, REG[13]=0000ff00
PC=000006c4, REG[15]=00000000
PC=000006c8, REG[15]=0000ff00
PC=000006cc, ---
PC=000006d0, REG[15]=00000000
PC=000006d4, REG[15]=00000001
PC=000006d8, REG[15]=00000002
PC=000006dc, REG[14]=0000ff80
PC=000006e0, REG[15]=0000ff82
PC=000006e4, REG[14]=00000000
PC=000006e8, REG[14]=00000000
PC=000006ec, REG[14]=00000000
PC=000006f0, REG[14]=00000000
PC=000006f4, REG[12]=00000000
PC=000006f8, REG[14]=00000001
PC=000006fc, REG[13]=0000fef0
PC=00000700, REG[15]=00000000
PC=00000704, REG[15]=0000fef0
PC=00000708, ---
PC=0000070c, REG[15]=00000000
PC=00000710, REG[15]=00000002
PC=00000714, REG[15]=00020000
PC=00000718, REG[15]=00000002
PC=0000071c, ---
PC=00000720, REG[14]=00000002
PC=00000724, REG[15]=00000008
PC=00000728, ---
PC=00000698, REG[15]=00000002
PC=0000069c, REG[15]=00000004
PC=000006a0, REG[14]=0000ff80
PC=000006a4, REG[15]=0000ff84
PC=000006a8, REG[14]=00000002
PC=000006ac, REG[14]=00000001
PC=000006b0, REG[14]=00010000
PC=000006b4, REG[14]=00000001
PC=000006b8, REG[12]=00000001
PC=000006bc, REG[14]=00000000
PC=000006c0, REG[13]=0000ff00
PC=000006c4, REG[15]=00000002
PC=000006c8, REG[15]=0000ff02
PC=000006cc, ---
PC=000006d0, REG[15]=00000002
PC=000006d4, REG[15]=00000003
PC=000006d8, REG[15]=00000006
PC=000006dc, REG[14]=0000ff80
PC=000006e0, REG[15]=0000ff86
PC=000006e4, REG[14]=00000002
PC=000006e8, REG[14]=00000001
PC=000006ec, REG[14]=00010000
PC=000006f0, REG[14]=00000001
PC=000006f4, REG[12]=00000001
PC=000006f8, REG[14]=00000000
PC=000006fc, REG[13]=0000fef0
PC=00000700, REG[15]=00000002
PC=00000704, REG[15]=0000fef2
PC=00000708, ---
PC=0000070c, REG[15]=00000002
PC=00000710, REG[15]=00000004
PC=00000714, REG[15]=00040000
PC=00000718, REG[15]=00000004
PC=0000071c, ---
PC=00000720, REG[14]=00000004
PC=00000724, REG[15]=00000008
PC=00000728, ---
PC=00000698, REG[15]=00000004
PC=0000069c, REG[15]=00000008
PC=000006a0, REG[14]=0000ff80
PC=000006a4, REG[15]=0000ff88
PC=000006a8, REG[14]=00000004
PC=000006ac, REG[14]=00000002
PC=000006b0, REG[14]=00020000
PC=000006b4, REG[14]=00000002
PC=000006b8, REG[12]=00000002
PC=000006bc, REG[14]=00000000
PC=000006c0, REG[13]=0000ff00
PC=000006c4, REG[15]=00000004
PC=000006c8, REG[15]=0000ff04
PC=000006cc, ---
PC=000006d0, REG[15]=00000004
PC=000006d4, REG[15]=00000005
PC=000006d8, REG[15]=0000000a
PC=000006dc, REG[14]=0000ff80
PC=000006e0, REG[15]=0000ff8a
PC=000006e4, REG[14]=00000004
PC=000006e8, REG[14]=00000002
PC=000006ec, REG[14]=00020000
PC=000006f0, REG[14]=00000002
PC=000006f4, REG[12]=00000002
PC=000006f8, REG[14]=00000000
PC=000006fc, REG[13]=0000fef0
PC=00000700, REG[15]=00000004
PC=00000704, REG[15]=0000fef4
PC=00000708, ---
PC=0000070c, REG[15]=00000004
PC=00000710, REG[15]=00000006
PC=00000714, REG[15]=00060000
PC=00000718, REG[15]=00000006
PC=0000071c, ---
PC=00000720, REG[14]=00000006
PC=00000724, REG[15]=00000008
PC=00000728, ---
PC=00000698, REG[15]=00000006
PC=0000069c, REG[15]=0000000c
PC=000006a0, REG[14]=0000ff80
PC=000006a4, REG[15]=0000ff8c
PC=000006a8, REG[14]=00000006
PC=000006ac, REG[14]=00000003
PC=000006b0, REG[14]=00030000
PC=000006b4, REG[14]=00000003
PC=000006b8, REG[12]=00000003
PC=000006bc, REG[14]=00000000
PC=000006c0, REG[13]=0000ff00
PC=000006c4, REG[15]=00000006
PC=000006c8, REG[15]=0000ff06
PC=000006cc, ---
PC=000006d0, REG[15]=00000006
